,f0,f1,f2,,f0,f1,f2
0,1590923.009,582565.5325,420808.6178,,1.209476956,0.379989678,0.348046472
1,1349014.492,282392.3084,122471.2768,,,,
2,2007767.832,599485.5662,571327.69,,,,
3,1007137.343,174860.3519,220838.2868,,,,
4,1614053.423,677918.6024,212598.1289,,,,
5,1156847.286,278517.5022,156103.6237,,,,
6,986474.8269,469310.346,162683.1298,,,,
7,1060712.142,303972.9244,318145.8974,,,,
8,595360.6035,328206.3145,298160.5813,,,,
9,1577786.821,332428.8199,64741.12644,,,,
10,947742.0836,480336.8899,355491.0883,,,,
11,701605.9871,55064.36835,70678.37768,,,,
12,740663.3452,420606.5931,253487.431,,,,
13,1171603.785,412789.9305,724374.5594,,,,
14,1217029.92,342052.3599,263733.032,,,,
15,1022279.679,323287.4699,309176.0016,,,,
16,1161413.578,464485.1701,201794.7041,,,,
17,1126470.007,390972.5737,139552.119,,,,
18,779534.8285,146318.0428,324956.7962,,,,
19,1020824.906,326403.0638,268413.5445,,,,
20,1240874.474,214258.538,609786.4551,,,,
21,1571660.467,339019.4228,255564.0798,,,,
22,762983.833,243761.4094,460589.3236,,,,
23,1106123.724,552016.2089,192933.7403,,,,
24,976631.1056,445618.257,683742.8053,,,,
25,1231669.087,108197.4182,656523.9022,,,,
26,1066731.016,157075.5115,773604.6072,,,,
27,1511507.261,62644.38555,740092.3519,,,,
28,1138176.606,530545.1543,350268.0347,,,,
29,1248025.697,382565.6952,386734.8694,,,,
30,1457009.142,700088.5143,328212.8969,,,,
31,724513.4821,308633.6461,283806.7277,,,,
32,751794.6526,453377.8434,245729.3886,,,,
33,1183921.887,683336.3477,210394.1495,,,,
34,1025646.027,128603.3495,280659.2588,,,,
35,619827.5958,300580.5614,30909.79345,,,,
36,1533904.563,298569.6605,488298.8657,,,,
37,1288644.402,142323.8203,140806.4919,,,,
38,843904.2732,40841.02321,188202.0124,,,,
39,1607672.692,996365.0218,208948.8812,,,,
40,1209770.337,697248.3845,250192.5663,,,,
41,564575.1292,202897.7223,570337.4684,,,,
42,1290314.297,195224.0917,230680.9878,,,,
43,1500347.96,408258.1182,676561.6144,,,,
44,785067.8619,124992.4721,517820.098,,,,
45,778985.8022,405089.8465,278967.4918,,,,
46,1351029.758,664207.9613,578633.8696,,,,
47,1541634.402,619546.278,324150.8573,,,,
48,773489.4302,271439.2885,299760.5258,,,,
49,669429.5438,345909.396,186886.3286,,,,
50,1247490.784,266363.5152,593569.9924,,,,
51,1163405.339,293079.4576,105985.4214,,,,
52,556650.8816,221190.2928,458502.197,,,,
53,811420.209,487284.3218,459772.0242,,,,
54,427043.2116,364540.4547,190773.9902,,,,
55,1248896.613,347940.1185,433390.4354,,,,
56,1452361.823,347864.1402,517483.263,,,,
57,1484333.785,423862.8309,342573.2728,,,,
58,1145618.688,346616.1159,287678.6119,,,,
59,1047665.77,552909.8195,315767.4001,,,,
60,1457504.048,347749.4858,613262.9905,,,,
61,1398061.041,800009.1582,773077.6521,,,,
62,2044026.227,553191.5215,473215.312,,,,
63,1526489.844,404758.3138,196805.2128,,,,
64,2072869.08,624914.1479,445484.5736,,,,
65,1019044.948,416224.0147,328396.4978,,,,
66,1851953.545,1068661.482,475487.2475,,,,
67,619465.956,379406.4888,466792.782,,,,
68,1403972.725,35682.28804,457559.2283,,,,
69,1396160.031,171050.746,371892.2141,,,,
70,1945942.36,531957.0633,52408.31872,,,,
71,1258668.598,215080.673,766220.8401,,,,
72,1187163.683,465913.5511,49227.50723,,,,
73,978259.5053,520690.3465,716246.4396,,,,
74,1312537.693,521227.6539,240092.3815,,,,
75,1125358.502,285524.0677,645893.074,,,,
76,560648.588,558744.0943,246414.8115,,,,
77,956174.8168,141637.8136,295951.2361,,,,
78,1067918.1,431487.1051,254596.376,,,,
79,1164960.537,429385.1538,179506.2474,,,,
80,1737734.994,131229.6458,376901.2139,,,,
81,1624234.329,653543.8324,646813.2368,,,,
82,1471836.671,714879.648,423776.9705,,,,
83,692975.1305,375962.3887,201640.6678,,,,
84,1599848.538,673773.912,58037.35025,,,,
85,1110744.964,483070.5951,197467.2917,,,,
86,1647107.106,178135.1705,126535.1977,,,,
87,1448046.4,696446.0983,184567.2256,,,,
88,1127861.535,120720.8269,170386.3441,,,,
89,1375316.012,219552.0046,607140.8463,,,,
90,1746474.046,422457.6582,216443.0577,,,,
91,1113856.122,91815.75252,570973.1863,,,,
92,1501975.023,114027.2526,287962.8299,,,,
93,1200509.779,386176.3861,292712.67,,,,
94,1386637.082,400480.0709,413355.3418,,,,
95,1820321.605,238732.6365,216832.2517,,,,
96,419542.9311,350776.1795,151802.6984,,,,
97,1984518.479,134849.106,284438.8895,,,,
98,1390104.13,207949.0986,477617.1474,,,,
99,1424871.394,434233.1957,255878.7848,,,,
