,f0,f1,f2,,f0,f1,f2
0,2668665195,819727079.2,689712819.1,,2.621394678,0.802239393,0.41448375
1,2382387647,664690455.3,415250133.8,,,,
2,1647417230,355585026.8,113060418.2,,,,
3,1288446213,144437329.3,18458202.62,,,,
4,1932984569,577757774.2,376093552.1,,,,
5,3465342402,1001112847,387469952.2,,,,
6,4273077323,1541591624,847921442.2,,,,
7,1566157165,468433940.4,155979436.9,,,,
8,3633173803,1009075537,352215448.1,,,,
9,3602080824,1333855687,544044037.6,,,,
10,1349221777,183240275.6,37057810.94,,,,
11,3230805479,1095285393,521083743.3,,,,
12,3178966956,1167815081,486802463.6,,,,
13,1359747534,114927815.4,114779365.5,,,,
14,2769281139,845309978.4,452301581.6,,,,
15,4217205224,1485061642,281332814.3,,,,
16,3115765283,1083941628,543641797.7,,,,
17,2206794966,654547090.8,350193619.8,,,,
18,1613925557,250007104.6,49368072.54,,,,
19,1729824672,416806994.9,156293462.7,,,,
20,3640505917,1589010959,1226816595,,,,
21,3182138719,1112487211,857145372.3,,,,
22,1319609899,169465127,49945378.4,,,,
23,3461739086,1022919505,463379657.7,,,,
24,2117885510,582062121.2,346230130.3,,,,
25,1347538694,245283592.7,65363682.08,,,,
26,1566571452,426311645,90924415.2,,,,
27,1607755628,479902567.9,162129657.7,,,,
28,3023761816,895460561.4,369659479.6,,,,
29,1457683631,353786058.4,133556945.8,,,,
30,2688230768,905387695.8,716464360.6,,,,
31,2234418326,561458857,637935744.8,,,,
32,3148313263,953976731.2,521508361.1,,,,
33,3461860757,1765042824,1350703952,,,,
34,1481895271,312249250.7,72973841.76,,,,
35,1890842796,457118103.1,316861243.2,,,,
36,2708621695,857942350,598868344.4,,,,
37,1568864151,252067330.4,79577546.1,,,,
38,2939526275,572617101.4,326372007.9,,,,
39,2975916181,818227888,696709405.2,,,,
40,3125139160,733929826.7,169105329,,,,
41,3596678432,1243562179,648201660.2,,,,
42,3908141121,1435482375,571141176.7,,,,
43,3403981854,1044427364,642355367.7,,,,
44,1457101466,211902786,106690278.2,,,,
45,2534070337,844848773.4,472150407.5,,,,
46,3409878484,836535360.5,454324206.9,,,,
47,1668918818,354910215.9,229117420.6,,,,
48,1444487905,218277326.6,109822810.1,,,,
49,3833016889,1864493988,1120734717,,,,
50,3748928305,1292891006,382110478.4,,,,
51,1626027002,445691392.1,195807173.3,,,,
52,3031073077,559708152.1,155043776.2,,,,
53,3678790778,1572246907,1033812042,,,,
54,3192507180,1277372898,868611947.6,,,,
55,3229502379,804601977.3,311610037.4,,,,
56,1736894931,340299552,160033491.8,,,,
57,3340425322,1135951725,934137794,,,,
58,1995714664,579191136.4,213234026.1,,,,
59,3655811761,1511856633,472117773.5,,,,
60,1567280098,387780469.8,55561337.2,,,,
61,3139289926,865696328.7,337694539.2,,,,
62,2129162864,625706689.8,288029579.6,,,,
63,2995103679,665101974,282919185.3,,,,
64,2886354217,1019247615,413216154.7,,,,
65,2831691596,787326031.3,424136204.3,,,,
66,2162083530,825982714.6,356970333.9,,,,
67,1554964984,357794245.1,152715783.3,,,,
68,1932370070,470922285.9,194723889.5,,,,
69,1518871879,328161879.4,17161340.05,,,,
70,2887386723,1139018673,945647201.4,,,,
71,3359526104,1295906372,599509670.5,,,,
72,3976925206,1518650005,716926925.5,,,,
73,3215877831,1158781730,744020215.6,,,,
74,2974786593,787933090.2,173240910.4,,,,
75,2964547012,1131882887,849157674.7,,,,
76,2977316869,1073989470,895226129.4,,,,
77,3090073121,1108486015,791348471.4,,,,
78,1357806244,298630058.1,114060167.9,,,,
79,2983869738,1047204428,731161842.3,,,,
80,2044440132,532622794,85615442.16,,,,
81,1380687428,225857109.7,134067384.6,,,,
82,4175780399,1342947425,180084636.8,,,,
83,3401829121,773067586,261446216,,,,
84,2353778819,630216733.9,530828996.8,,,,
85,2747427762,962491701.6,772630360.5,,,,
86,1423146584,222128925.9,33461991.21,,,,
87,1528693597,397420315.7,174737488.9,,,,
88,3083083933,789076596.8,270667290.2,,,,
89,3621156431,849929128.1,391543052.5,,,,
90,3012843964,753808839.1,419299677.6,,,,
91,3415461515,931329101.4,255007189.5,,,,
92,4174883629,2032374416,990038986.7,,,,
93,1401563022,158154907.2,85585601.94,,,,
94,2802409616,958053344.8,502639871.6,,,,
95,2569084987,839572419.1,633585919.2,,,,
96,1332783010,228301865.4,53766198.07,,,,
97,3527144382,1213313612,566483136.5,,,,
98,1572025109,267462941.9,88154257.48,,,,
99,3393915394,1367437180,708955536,,,,
